nombre,alias,slug,pais,nacimiento,muerte,fecha_fiable,en_fuente,estado,otra_fuente,notas
Abraham Valdelomar,,,,1888,1919,wikidata,,,,escritor peruano
Alberto Blest Gana,,alberto-blest-gana,Chile,1830,1920,si,si,disponible,,
Alberto Edwards,,,Chile,1874,1932,revisar,no,disponible,Memoria Chilena (solo facsímil con OCR sin corregir: no sirve para edición propia),
Alberto del Solar,,,,1859,1921,verificada,,,,militar y escritor chileno
Alfonsina Storni,,alfonsina-storni,Argentina,1892,1938,si,si,disponible,,
Almafuerte,,,,1854,1917,wikidata,,,,"escritor, poeta, bibliotecario y periodista argentino"
Alonso de Ercilla,,alonso-de-ercilla,España,1533,1594,si,si,disponible,,
Amado Nervo,,amado-nervo,México,1870,1919,si,si,disponible,,6 obras en la fuente
Andrés Bello,,,Chile,1781,1865,si,no,disponible,Memoria Chilena (solo facsímil con OCR sin corregir: no sirve para edición propia),Venezolano nacionalizado chileno; su reforma ortográfica rigió hasta 1927
Antonio Machado,,antonio-machado,España,1875,1939,si,si,disponible,,España aplica 80 años a fallecidos antes de 1987
Arturo Ambrogi,,,,1875,1936,wikidata,,,,escritor y periodista salvadoreño
Augusto d'Halmar,,,Chile,1882,1950,revisar,no,disponible,Memoria Chilena (solo facsímil con OCR sin corregir: no sirve para edición propia),Confirmado contra el índice completo de textos.info: no está.
Baldomero Lillo,,baldomero-lillo,Chile,1867,1923,si,si,disponible,,
Bartolomé Mitre,,,,1821,1906,wikidata,,,,presidente de Argentina de 1861 hasta 1868
Benito Pérez Galdós,Pérez Galdós,benito-perez-galdos,España,1843,1920,si,si,disponible,,
Benjamín Vicuña Mackenna,,,Chile,1831,1886,si,no,disponible,Memoria Chilena (solo facsímil con OCR sin corregir: no sirve para edición propia),Confirmado contra el índice completo de textos.info: no está.
Bernal Díaz del Castillo,,,,1492,1584,wikidata,,,,conquistador español y cronista de Indias
Carlos Alberto Leumann,,,,1886,1952,wikidata,,,,"poeta, periodista y docente argentino"
Carlos Gagini,,,,1865,1925,wikidata,,,,Costa Rican writer (1865–1925)
Carlos María Ocantos,,,,1860,1949,wikidata,,,,escritor y diplomático argentino
Carlos Octavio Bunge,,,,1875,1918,wikidata,,,,sociólogo argentino
Carlos Pezoa Véliz,,,Chile,1879,1908,si,no,disponible,"Wikisource (13 poemas sueltos, textos validados)","Sus recopilaciones póstumas tienen derechos, pero Wikisource publica los poemas por separado: permite componer una selección propia."
Carlos Reyles,,,,1868,1938,wikidata,,,,escritor uruguayo
Carmen de Burgos,Colombine,carmen-de-burgos,España,1867,1932,si,si,disponible,,Firmaba como Colombine; 43 obras en la fuente
Cayetano Coll y Toste,,,,1850,1930,wikidata,,,,historiador y escritor puertorriqueño
Charles Darwin,,,Reino Unido,1809,1882,si,no,revisar_edicion,Gutenberg,La obra es libre; las traducciones al español pueden no serlo
Cirilo Villaverde,,,Cuba,1812,1894,si,no,disponible,Gutenberg,
Clemente Palma,,,,1872,1946,wikidata,,,,escritor peruano
Clorinda Matto de Turner,,clorinda-matto-de-turner,Perú,1852,1909,si,si,disponible,,2 obras en la fuente
Concepción Arenal,,concepcion-arenal,España,1820,1893,si,si,disponible,,6 obras en la fuente
César Vallejo,,cesar-vallejo,Perú,1892,1938,si,si,disponible,,"Pendientes: «El arte y la revolución» y «Contra el secreto profesional», recopilaciones de Georgette Vallejo (1973)."
Daniel Riquelme,,daniel-riquelme,Chile,1857,1912,si,si,disponible,,
Delmira Agustini,,,Uruguay,1886,1914,si,no,disponible,Wikisource,Confirmado contra el índice completo de textos.info: no está.
Diego de Landa,,,,1524,1579,verificada,,,,"Pendiente: «Relación de las cosas de Yucatán». La edición de Gutenberg es bilingüe (Brasseur de Bourbourg, 1864) y trae cada encabezado en español y francés; hay que filtrar el francés o buscar una edición monolingüe."
Domingo Arena,,,,1888,1917,wikidata,,,,militar mexicano
Domingo F. Sarmiento,,,,1811,1888,wikidata,,,,escritor y político argentino; presidente de Argentina de 1868 a 1874
Domingo Faustino Sarmiento,Domingo F. Sarmiento,domingo-faustino-sarmiento,Argentina,1811,1888,si,si,disponible,,
Edgar Allan Poe,,,Estados Unidos,1809,1849,si,no,revisar_edicion,Gutenberg,La obra es libre; las traducciones al español pueden no serlo
Eduardo Acevedo Díaz,,,,1851,1921,verificada,,,,novelista uruguayo
Eduardo Gutiérrez,,,,1852,1889,wikidata,,,,escritor argentino
Eduardo Ladislao Holmberg,,,,1852,1937,wikidata,,,,escritor y biólogo argentino (1852–1937)
Emilia Pardo Bazán,Pardo Bazán,emilia-pardo-bazan,España,1851,1921,si,si,disponible,,"607 textos en la fuente. Pendiente: el volumen «Cuentos» de la fuente, que reúne los 570 relatos de sus doce libros."
Emilia Serrano,,,España,1834,1922,revisar,no,disponible,,
Emilio Bobadilla,,,,1862,1921,verificada,,,,escritor cubano
