autor,anio_muerte,nacionalidad,verificado,fuente_fecha
Abraham Valdelomar,1919,PE,no,"precargado, sin verificar"
Agencia Nacional de Investigación y Desarrollo (Chile),,,,
Alberto Blest Gana,1920,CL,si,confirmado por Rocío
Alberto del Solar,1921,CL,si,confirmado por Rocío (criterio conservador)
Alcide d'Orbigny,,,,
Alfonsina Storni,1938,AR,no,"precargado, sin verificar"
Almafuerte,1917,AR,no,"precargado, sin verificar"
Alonso de Ercilla,,,,
Amado Nervo,1919,MX,no,"precargado, sin verificar"
Andrés Bello,,,,
Antonella Reveco Spalloni,,,,
Antonio Machado,1939,ES,si,confirmado por Rocío
Arturo Ambrogi,1936,SV,si,confirmado por Rocío
Asociación de Bibliotecas Nacionales de Iberoamérica,,,,
Baldomero Lillo,1923,CL,si,confirmado por Rocío (criterio conservador)
Bartolomé Mitre,1906,AR,si,confirmado por Rocío
Benito Pérez Galdós,1920,ES,si,confirmado por Rocío
Bernal Díaz del Castillo,,,,
Biblioteca Nacional de Chile,,,,
Biblioteca Nacional de España,,,,
CAICYT-CONICET,,,,
Carlos Alberto Leumann,1952,AR,si,confirmado por Rocío
Carlos Gagini,1925,CR,si,confirmado por Rocío (criterio conservador)
Carlos María Ocantos,1949,AR,si,confirmado por Rocío
Carlos Octavio Bunge,1918,AR,si,confirmado por Rocío (criterio conservador)
Carlos Reyles,1938,UY,si,confirmado por Rocío
"Carmen Smith de Espinosa (Smith Canales, Carmen)",,,,
Carmen de Burgos,1932,ES,no,"precargado, sin verificar"
Cayetano Coll y Toste,1930,PR,si,confirmado por Rocío
Charles Darwin,1882,GB,no,"precargado, sin verificar"
Cirilo Villaverde,,,,
Clemente Palma,1946,PE,si,confirmado por Rocío
Clorinda Matto de Turner,1909,PE,si,confirmado por Rocío
Concepción Arenal,1893,ES,si,confirmado por Rocío
Consejo Latinoamericano de Ciencias Sociales,,,,
"Consejo Nacional de Humanidades, Ciencias y Tecnologías",,,,
César Vallejo,1938,PE,no,"precargado, sin verificar"
DOAJ,,,,
Daniel Riquelme,1912,CL,si,confirmado por Rocío (criterio conservador)
Delmira Agustini,1914,UY,no,"precargado, sin verificar"
Domingo Arena,1939,UY,si,confirmado por Rocío
Domingo F. Sarmiento,,,,
Domingo Faustino Sarmiento,,,,
Edgar Allan Poe,,,,
Eduardo Acevedo Díaz,1921,UY,si,confirmado por Rocío
Eduardo Gutiérrez,1889,AR,si,confirmado por Rocío
Eduardo Ladislao Holmberg,1937,AR,si,confirmado por Rocío
Emilia Pardo Bazán,1921,ES,no,"precargado, sin verificar"
Emilio Bobadilla,1921,FR,si,confirmado por Rocío (criterio conservador)
Emilio Rabasa,1930,MX,si,confirmado por Rocío
Enrique Flores Álvarez,,,,
Estanislao del Campo,1880,AR,si,confirmado por Rocío
Esteban Echeverría,1851,AR,si,confirmado por Rocío
Eugenio Cambaceres,1889,AR,si,confirmado por Rocío
Eugenio María de Hostos,1903,PR,si,confirmado por Rocío
"Eusebio Lillo Robles (versos), Bernardo de Vera y Pintado (coro)",,,,
Federico Gana,1926,CL,si,confirmado por Rocío
Federico García Lorca,1936,ES,no,"precargado, sin verificar"
Fernán Caballero,1877,ES,si,confirmado por Rocío
Florencio Varela,1848,AR,si,confirmado por Rocío
Francisco Calcagno,1903,CU,si,confirmado por Rocío
Francisco Campos Coello,1916,EC,si,confirmado por Rocío (criterio conservador)
Francisco Javier Alegre,1788,MX,si,confirmado por Rocío
Francisco Pascasio Moreno,1919,AR,si,confirmado por Rocío (criterio conservador)
Francisco del Valle Atiles,1928,PR,si,confirmado por Rocío
François Chaussier,,,,
Friedrich Wilhelm Ristenpart,,,,
Félix José de Augusta,1935,DE,si,confirmado por Rocío
Gertrudis Gómez de Avellaneda,1873,ES,si,confirmado por Rocío
Guillermo Prieto,1897,MX,si,confirmado por Rocío
Gustavo Adolfo Bécquer,1870,ES,si,confirmado por Rocío
Gustavo Sánchez Galarraga,1936,CU,no,"precargado, sin verificar"
Horacio Quiroga,1937,UY,no,"precargado, sin verificar"
Ignacio Manuel Altamirano,1893,MX,si,confirmado por Rocío
Inca Garcilaso de la Vega,1616,PE,si,confirmado por Rocío
Ireneo Paz,1924,MX,si,confirmado por Rocío (criterio conservador)
Javier de Viana,1926,UY,no,"precargado, sin verificar"
Joaquín Díaz Garcés,1921,CL,si,confirmado por Rocío (criterio conservador)
Jorge Isaacs,1895,CO,si,confirmado por Rocío
Josef Ribes y Manuel Bonafós,,,,
José Alonso y Trelles,1924,ES,si,confirmado por Rocío (criterio conservador)
José Asunción Silva,1896,CO,si,confirmado por Rocío
José Enrique Rodó,1917,UY,si,confirmado por Rocío (criterio conservador)
José Eustasio Rivera,1928,CO,no,"precargado, sin verificar"
José Hernández,1886,AR,si,confirmado por Rocío
José Ingenieros,1925,AR,si,confirmado por Rocío (criterio conservador)
José Joaquín Fernández de Lizardi,,,,
José Martí,1895,CU,si,confirmado por Rocío
José María Roa Bárcena,1908,MX,si,confirmado por Rocío
José María Vargas Vila,1933,CO,si,confirmado por Rocío
