autor,obras_alojadas,anio_muerte_propuesto,nacionalidad,riesgo,verificado
Fernán Caballero,17,1877,ES,"baja (murió antes de 1911, margen de décadas)",no
José Tomás de Cuéllar,16,1894,MX,"baja (murió antes de 1911, margen de décadas)",no
Vicente Riva Palacio,9,1896,MX,"baja (murió antes de 1911, margen de décadas)",no
Juana Manuela Gorriti,8,1892,AR,"baja (murió antes de 1911, margen de décadas)",no
Manuel Gutiérrez Nájera,5,1895,MX,"baja (murió antes de 1911, margen de décadas)",no
"Leopoldo Alas ""Clarín""",3,1901,ES,"baja (murió antes de 1911, margen de décadas)",no
José María Roa Bárcena,3,1908,MX,"baja (murió antes de 1911, margen de décadas)",no
Juan Díaz Covarrubias,3,1859,MX,"baja (murió antes de 1911, margen de décadas)",no
Gertrudis Gómez de Avellaneda,3,1873,CU,"baja (murió antes de 1911, margen de décadas)",no
Guillermo Prieto,3,1897,MX,"baja (murió antes de 1911, margen de décadas)",no
José Hernández,2,1886,AR,"baja (murió antes de 1911, margen de décadas)",no
Clorinda Matto de Turner,2,1909,PE,"baja (murió antes de 1911, margen de décadas)",no
Concepción Arenal,2,1893,ES,"baja (murió antes de 1911, margen de décadas)",no
Eugenio Cambaceres,2,1889,AR,"baja (murió antes de 1911, margen de décadas)",no
José Asunción Silva,2,1896,CO,"baja (murió antes de 1911, margen de décadas)",no
Rafael Barrett,2,1910,PY,"baja (murió antes de 1911, margen de décadas)",no
Estanislao del Campo,2,1880,AR,"baja (murió antes de 1911, margen de décadas)",no
Manuel A. Alonso,2,1889,PR,"baja (murió antes de 1911, margen de décadas)",no
Miguel Cané,2,1905,AR,"baja (murió antes de 1911, margen de décadas)",no
Jorge Isaacs,1,1895,CO,"baja (murió antes de 1911, margen de décadas)",no
Esteban Echeverría,1,1851,AR,"baja (murió antes de 1911, margen de décadas)",no
José Victorino Lastarria,1,1888,CL,"baja (murió antes de 1911, margen de décadas)",no
Juan Montalvo,1,1889,EC,"baja (murió antes de 1911, margen de décadas)",no
Manuel Payno,1,1894,MX,"baja (murió antes de 1911, margen de décadas)",no
Eduardo Gutiérrez,1,1889,AR,"baja (murió antes de 1911, margen de décadas)",no
José Mármol,1,1871,AR,"baja (murió antes de 1911, margen de décadas)",no
Juan Ruiz de Alarcón,1,1639,MX,"baja (murió antes de 1911, margen de décadas)",no
Rosa Guerra,1,1864,AR,"baja (murió antes de 1911, margen de décadas)",no
Juan Cortada,1,1868,AR,"baja (murió antes de 1911, margen de décadas)",no
Francisco Javier Alegre,1,1788,MX,"baja (murió antes de 1911, margen de décadas)",no
Luis Benjamín Cisneros,1,1904,PE,"baja (murió antes de 1911, margen de décadas)",no
Florencio Varela,1,1848,AR,"baja (murió antes de 1911, margen de décadas)",no
Eugenio María de Hostos,1,1903,PR,"baja (murió antes de 1911, margen de décadas)",no
Lucio Vicente López,1,1894,AR,"baja (murió antes de 1911, margen de décadas)",no
Bartolomé Mitre,1,1906,AR,"baja (murió antes de 1911, margen de décadas)",no
Francisco Calcagno,1,1903,CU,"baja (murió antes de 1911, margen de décadas)",no
Martín García Mérou,1,1905,AR,"baja (murió antes de 1911, margen de décadas)",no
Pedro José Guiteras,1,1890,CU,"baja (murió antes de 1911, margen de décadas)",no
