id,dominio,titulo,autor,anio,pais,genero,tema,tipo,fuente,url,urls,verificado,puede_alojarse,piezas,nota_editorial,notas
1,Literatura,Don Quijote de la Mancha,Miguel de Cervantes,1605,España,Novela,,Dominio público,"textos.info (edición de Edu Robsy, marcada como dominio público)",https://archivos.tintaydatos.com/ediciones/don-quijote-de-la-mancha-tinta-y-datos.pdf,,True,si,"TASA | TESTIMONIO DE LAS ERRATAS | EL REY | AL DUQUE DE BÉJAR, | PRÓLOGO | AL LIBRO DE DON QUIJOTE DE LA MANCHA | Capítulo primero. Que trata de la condición y ejercicio del famoso hidalgo don Quijote de la Mancha | Capítulo II. Que trata de la primera salida que de su tierra hizo el ingenioso don Quijote | Capítulo III. Donde se cuenta la graciosa manera que tuvo don Quijote en armarse caballero | Capítulo IV. De lo que le sucedió a nuestro caballero cuando salió de la venta | Capítulo V. Donde se prosigue la narración de la desgracia de nuestro caballero | Capítulo VI. Del donoso y grande escrutinio que el cura y el barbero hicieron en la librería de nuestro ingenioso hidalgo | Capítulo VII. De la segunda salida de nuestro buen caballero don Quijote de la Mancha | Capítulo VIII. Del buen suceso que el valeroso don Quijote tuvo en la espantable y jamás imaginada aventura de los molinos de viento, con otros sucesos dignos de felice recordación | Capítulo IX. Donde se concluye y da fin a la estupenda batalla que el gallardo vizcaíno y el valiente manchego tuvieron | Capítulo X. De lo que más le avino a don Quijote con el vizcaíno, y del peligro en que se vio con una turba de yangüeses | Capítulo XI. De lo que le sucedió a don Quijote con unos cabreros | Capítulo XII. De lo que contó un cabrero a los que estaban con don Quijote | Capítulo XIII. Donde se da fin al cuento de la pastora Marcela, con otros sucesos | Capítulo XIV. Donde se ponen los versos desesperados del difunto pastor, con otros no esperados sucesos | Capítulo XV. Donde se cuenta la desgraciada aventura que se topó don Quijote en topar con unos desalmados yangüeses | Capítulo XVI. De lo que le sucedió al ingenioso hidalgo en la venta que él imaginaba ser castillo | Capítulo XVII. Donde se prosiguen los innumerables trabajos que el bravo don Quijote y su buen escudero Sancho Panza pasaron en la venta que, por su mal, pensó que era castillo | Capítulo XVIII. Donde se cuentan las razones que pasó Sancho Panza con su señor Don Quijote, con otras aventuras dignas de ser contadas | Capítulo XIX. De las discretas razones que Sancho pasaba con su amo, y de la aventura que le sucedió con un cuerpo muerto, con otros acontecimientos famosos | Capítulo XX. De la jamás vista ni oída aventura que con más poco peligro fue acabada de famoso caballero en el mundo, como la que acabó el valeroso don Quijote de la Mancha | Capítulo XXI. Que trata de la alta aventura y rica ganancia del yelmo de Mambrino, con otras cosas sucedidas a nuestro invencible caballero | Capítulo XXII. De la libertad que dio don Quijote a muchos desdichados que, mal de su grado, los llevaban donde no quisieran ir | Capítulo XXIII. De lo que le aconteció al famoso don Quijote en Sierra Morena, que fue una de las más raras aventuras que en esta verdadera historia se cuentan | Capítulo XXIV. Donde se prosigue la aventura de la Sierra Morena | Capítulo XXV. Que trata de las estrañas cosas que en Sierra Morena sucedieron al valiente caballero de la Mancha, y de la imitación que hizo a la penitencia de Beltenebros | Capítulo XXVI. Donde se prosiguen las finezas que de enamorado hizo don Quijote en Sierra Morena | Capítulo XXVII. De cómo salieron con su intención el cura y el barbero, con otras cosas dignas de que se cuenten en esta grande historia | Capítulo XXVIII. Que trata de la nueva y agradable aventura que al cura y barbero sucedió en la mesma sierra | Capítulo XXIX. Que trata de la discreción de la hermosa Dorotea, con otras cosas de mucho gusto y pasatiempo | Capítulo XXX. Que trata del gracioso artificio y orden que se tuvo en sacar a nuestro enamorado caballero de la asperísima penitencia en que se había puesto | Capítulo XXXI. De los sabrosos razonamientos que pasaron entre don Quijote y Sancho Panza, su escudero, con otros sucesos | Capítulo XXXII. Que trata de lo que sucedió en la venta a toda la cuadrilla de don Quijote | Capítulo XXXIII. Donde se cuenta la novela del Curioso impertinente | Capítulo XXXIV. Donde se prosigue la novela del Curioso impertinente | Capítulo XXXV. Donde se da fin a la novela del Curioso impertinente | Capítulo XXXVI. Que trata de la brava y descomunal batalla que don Quijote tuvo con unos cueros de vino tinto, con otros raros sucesos que en la venta le sucedieron | Capítulo XXXVII. Que prosigue la historia de la famosa infanta Micomicona, con otras graciosas aventuras | Capítulo XXXVIII. Que trata del curioso discurso que hizo don Quijote de las armas y las letras | Capítulo XXXIX. Donde el cautivo cuenta su vida y sucesos | Capítulo XL. Donde se prosigue la historia del cautivo | Capítulo XLI. Donde todavía prosigue el cautivo su suceso | Capítulo XLII. Que trata de lo que más sucedió en la venta y de otras muchas cosas dignas de saberse | Capítulo XLIII. Donde se cuenta la agradable historia del mozo de mulas, con otros estraños acaecimientos en la venta sucedidos] | Capítulo XLIV. Donde se prosiguen los inauditos sucesos de la venta | Capítulo XLV. Donde se acaba de averiguar la duda del yelmo de Mambrino y de la albarda, y otras aventuras sucedidas, con toda verdad | Capítulo XLVI. De la notable aventura de los cuadrilleros, y la gran ferocidad de nuestro buen caballero don Quijote | Capítulo XLVII. Del estraño modo con que fue encantado don Quijote de la Mancha, con otros famosos sucesos | Capítulo XLVIII. Donde prosigue el canónigo la materia de los libros de caballerías, con otras cosas dignas de su ingenio | Capítulo XLIX. Donde se trata del discreto coloquio que Sancho Panza tuvo con su señor don Quijote | Capítulo L. De las discretas altercaciones que don Quijote y el canónigo tuvieron, con otros sucesos | Capítulo LI. Que trata de lo que contó el cabrero a todos los que llevaban a don Quijote | Capítulo LII. De la pendencia que don Quijote tuvo con el cabrero, con la rara aventura de los deceplinantes, a quien dio felice fin a costa de su sudor | TASA | FEE DE ERRATAS | APROBACIONES | PRÓLOGO AL LECTOR | DEDICATORIA, AL CONDE DE LEMOS | Capítulo Primero. De lo que el cura y el barbero pasaron con don Quijote cerca de su enfermedad | Capítulo II. Que trata de la notable pendencia que Sancho Panza tuvo con la sobrina y ama de don Quijote, con otros sujetos graciosos | Capítulo III. Del ridículo razonamiento que pasó entre don Quijote, Sancho Panza y el bachiller Sansón Carrasco | Capítulo IV. Donde Sancho Panza satisface al bachiller Sansón Carrasco de sus dudas y preguntas, con otros sucesos dignos de saberse y de contarse | Capítulo V. De la discreta y graciosa plática que pasó entre Sancho Panza y su mujer Teresa Panza, y otros sucesos dignos de felice recordación | Capítulo VI. De lo que le pasó a Don Quijote con su sobrina y con su ama, y es uno de los importantes capítulos de toda la historia | Capítulo VII. De lo que pasó don Quijote con su escudero, con otros sucesos famosísimos | Capítulo VIII. Donde se cuenta lo que le sucedió a don Quijote, yendo a ver su señora Dulcinea del Toboso | Capítulo IX. Donde se cuenta lo que en él se verá | Capítulo X. Donde se cuenta la industria que Sancho tuvo para encantar a la señora Dulcinea, y de otros sucesos tan ridículos como verdaderos | Capítulo XI. De la estraña aventura que le sucedió al valeroso don Quijote con el carro, o carreta, de Las Cortes de la Muerte | Capítulo XII. De la estraña aventura que le sucedió al valeroso don Quijote con el bravo Caballero de los Espejos | Capítulo XIII. Donde se prosigue la aventura del Caballero del Bosque, con el discreto, nuevo y suave coloquio que pasó entre los dos escuderos | Capítulo XIV. Donde se prosigue la aventura del Caballero del Bosque | Capítulo XV. Donde se cuenta y da noticia de quién era el Caballero de los Espejos y su escudero | Capítulo XVI. De lo que sucedió a don Quijote con un discreto caballero de la Mancha | Capítulo XVII. De donde se declaró el último punto y estremo adonde llegó y pudo llegar el inaudito ánimo de don Quijote, con la felicemente acabada aventura de los leones | Capítulo XVIII. De lo que sucedió a don Quijote en el castillo o casa del Caballero del Verde Gabán, con otras cosas extravagantes | Capítulo XIX. Donde se cuenta la aventura del pastor enamorado, con otros en verdad graciosos sucesos | Capítulo XX. Donde se cuentan las bodas de Camacho el rico, con el suceso de Basilio el pobre | Capítulo XXI. Donde se prosiguen las bodas de Camacho, con otros gustosos sucesos | Capítulo XXII. Donde se da cuenta de la grande aventura de la cueva de Montesinos, que está en el corazón de la Mancha, a quien dio felice cima el valeroso don Quijote de la Mancha | Capítulo XXIII. De las admirables cosas que el estremado don Quijote contó que había visto en la profunda cueva de Montesinos, cuya imposibilidad y grandeza hace que se tenga esta aventura por apócrifa | Capítulo XXIV. Donde se cuentan mil zarandajas tan impertinentes como necesarias al verdadero entendimiento desta grande historia | Capítulo XXV. Donde se apunta la aventura del rebuzno y la graciosa del titerero, con las memorables adivinanzas del mono adivino | Capítulo XXVI. Donde se prosigue la graciosa aventura del titerero, con otras cosas en verdad harto buenas | Capítulo XXVII. Donde se da cuenta quiénes eran maese Pedro y su mono, con el mal suceso que don Quijote tuvo en la aventura del rebuzno, que no la acabó como él quisiera y como lo tenía pensado | Capítulo XXVIII. De cosas que dice Benengeli que las sabrá quien le leyere, si las lee con atención | Capítulo XXIX. De la famosa aventura del barco encantado | Capítulo XXX. De lo que le avino a don Quijote con una bella cazadora | Capítulo XXXI. Que trata de muchas y grandes cosas | Capítulo XXXII. De la respuesta que dio don Quijote a su reprehensor, con otros graves y graciosos sucesos | Capítulo XXXIII. De la sabrosa plática que la duquesa y sus doncellas pasaron con Sancho Panza, digna de que se lea y de que se note | Capítulo XXXIV. Que cuenta de la noticia que se tuvo de cómo se había de desencantar la sin par Dulcinea del Toboso, que es una de las aventuras más famosas deste libro | Capítulo XXXV. Donde se prosigue la noticia que tuvo don Quijote del desencanto de Dulcinea, con otros admirables sucesos | Capítulo XXXVI. Donde se cuenta la estraña y jamás imaginada aventura de la dueña Dolorida, alias de la condesa Trifaldi, con una carta que Sancho Panza escribió a su mujer Teresa Panza | Capítulo XXXVII. Donde se prosigue la famosa aventura de la dueña Dolorida | Capítulo XXXVIII. Donde se cuenta la que dio de su mala andanza la dueña Dolorida | Capítulo XXXIX. Donde la Trifaldi prosigue su estupenda y memorable historia | Capítulo XL. De cosas que atañen y tocan a esta aventura y a esta memorable historia | Capítulo XLI. De la venida de Clavileño, con el fin desta dilatada aventura | Capítulo XLII. De los consejos que dio don Quijote a Sancho Panza antes que fuese a gobernar la ínsula, con otras cosas bien consideradas | Capítulo XLIII. De los consejos segundos que dio don Quijote a Sancho Panza | Capítulo XLIV. Cómo Sancho Panza fue llevado al gobierno, y de la estraña aventura que en el castillo sucedió a don Quijote | Capítulo XLV. De cómo el gran Sancho Panza tomó la posesión de su ínsula, y del modo que comenzó a gobernar | Capítulo XLVI. Del temeroso espanto cencerril y gatuno que recibió don Quijote en el discurso de los amores de la enamorada Altisidora | Capítulo XLVII. Donde se prosigue cómo se portaba Sancho Panza en su gobierno | Capítulo XLVIII. De lo que le sucedió a don Quijote con doña Rodríguez, la dueña de la duquesa, con otros acontecimientos dignos de escritura y de memoria eterna | Capítulo XLIX. De lo que le sucedió a Sancho Panza rondando su ínsula | Capítulo L. Donde se declara quién fueron los encantadores y verdugos que azotaron a la dueña y pellizcaron y arañaron a don Quijote, con el suceso que tuvo el paje que llevó la carta a Teresa Sancha, mujer de Sancho Panza | Capítulo LI. Del progreso del gobierno de Sancho Panza, con otros sucesos tales como buenos | Capítulo LII. Donde se cuenta la aventura de la segunda dueña Dolorida, o Angustiada, llamada por otro nombre doña Rodríguez | Capítulo LIII. Del fatigado fin y remate que tuvo el gobierno de Sancho Panza | Capítulo LIV. Que trata de cosas tocantes a esta historia, y no a otra alguna | Capítulo LV. De cosas sucedidas a Sancho en el camino, y otras que no hay más que ver | Capítulo LVI. De la descomunal y nunca vista batalla que pasó entre don Quijote de la Mancha y el lacayo Tosilos, en la defensa de la hija de la dueña doña Rodríguez | Capítulo LVII. Que trata de cómo don Quijote se despidió del duque, y de lo que le sucedió con la discreta y desenvuelta Altisidora, doncella de la duquesa | Capítulo LVIII. Que trata de cómo menudearon sobre don Quijote aventuras tantas, que no se daban vagar unas a otras | Capítulo LIX. Donde se cuenta del extraordinario suceso, que se puede tener por aventura, que le sucedió a don Quijote | Capítulo LX. De lo que sucedió a don Quijote yendo a Barcelona | Capítulo LXI. De lo que le sucedió a don Quijote en la entrada de Barcelona, con otras cosas que tienen más de lo verdadero que de lo discreto | Capítulo LXII. Que trata de la aventura de la cabeza encantada, con otras niñerías que no pueden dejar de contarse | Capítulo LXIII. De lo mal que le avino a Sancho Panza con la visita de las galeras, y la nueva aventura de la hermosa morisca | Capítulo LXIV. Que trata de la aventura que más pesadumbre dio a don Quijote de cuantas hasta entonces le habían sucedido | Capítulo LXV. Donde se da noticia quién era el de la Blanca Luna, con la libertad de Don Gregorio, y de otros sucesos | Capítulo LXVI. Que trata de lo que verá el que lo leyere, o lo oirá el que lo escuchare leer | Capítulo LXVII. De la resolución que tomó don Quijote de hacerse pastor y seguir la vida del campo, en tanto que se pasaba el año de su promesa, con otros sucesos en verdad gustosos y buenos | Capítulo LXVIII. De la cerdosa aventura que le aconteció a don Quijote | Capítulo LXIX. Del más raro y más nuevo suceso que en todo el discurso desta grande historia avino a don Quijote | Capítulo LXX. Que sigue al de sesenta y nueve, y trata de cosas no escusadas para la claridad desta historia | Capítulo LXXI. De lo que a don Quijote le sucedió con su escudero Sancho yendo a su aldea | Capítulo LXXII. De cómo don Quijote y Sancho llegaron a su aldea | Capítulo LXXIII. De los agüeros que tuvo don Quijote al entrar de su aldea, con otros sucesos que adornan y acreditan esta grande historia | Capítulo LXXIV. De cómo don Quijote cayó malo, y del testamento que hizo, y su muerte","Reúne las dos partes, la de 1605 y la de 1615, con los preliminares de ambas: tasa, testimonio de erratas, privilegio real, dedicatorias y prólogos.","Edición propia Tinta y Datos: 137 capítulos, 6101 párrafos."
2,Literatura,El Gaucho Martín Fierro,José Hernández,1872,Argentina,Poesía,,Dominio público,"textos.info (edición de Edu Robsy, marcada como dominio público)",https://archivos.tintaydatos.com/ediciones/el-gaucho-martin-fierro-tinta-y-datos.pdf,,True,si,,"Primera parte del poema, conocida como «La Ida». La segunda, «La Vuelta», apareció en 1879 y Tinta y Datos la publica por separado.","Edición propia Tinta y Datos: 13 poemas, 2336 versos."
3,Literatura,Rimas,Gustavo Adolfo Bécquer,1871,España,Poesía,,Dominio público,"textos.info (edición de Edu Robsy, marcada como dominio público)",https://archivos.tintaydatos.com/ediciones/rimas-tinta-y-datos.pdf,,True,si,,"Se cotejaron las lecturas dudosas contra la edición de 1885 y otras ediciones de referencia: se enmendaron nueve lecturas y se restituyeron dos saltos de estrofa perdidos en la digitalización. El registro completo de enmiendas, con su justificación, acompaña a esta obra en el catálogo.","Edición propia Tinta y Datos: 76 poemas, 1382 versos."
4,Literatura,La Regenta,"Leopoldo Alas ""Clarín""",1884,España,Novela,,Dominio público,"textos.info (edición de Edu Robsy, marcada como dominio público)",https://archivos.tintaydatos.com/ediciones/la-regenta-tinta-y-datos.pdf,,True,si,,,"Edición propia Tinta y Datos: 31 capítulos, 6001 párrafos."
5,Literatura,Fortunata y Jacinta,Benito Pérez Galdós,1887,España,Novela,,Dominio público,"textos.info (edición de Edu Robsy, marcada como dominio público)",https://archivos.tintaydatos.com/ediciones/fortunata-y-jacinta-parte-1-tinta-y-datos.pdf,Parte 1::https://archivos.tintaydatos.com/ediciones/fortunata-y-jacinta-parte-1-tinta-y-datos.pdf|Parte 2::https://archivos.tintaydatos.com/ediciones/fortunata-y-jacinta-parte-2-tinta-y-datos.pdf|Parte 3::https://archivos.tintaydatos.com/ediciones/fortunata-y-jacinta-parte-3-tinta-y-datos.pdf|Parte 4::https://archivos.tintaydatos.com/ediciones/fortunata-y-jacinta-parte-4-tinta-y-datos.pdf,True,si,,,"Edición propia Tinta y Datos: 31 capítulos, 5863 párrafos."
6,Literatura,Facundo. Civilización y barbarie,Domingo F. Sarmiento,1845,Argentina,Ensayo,,Dominio público,"textos.info (edición de Edu Robsy, marcada como dominio público)",https://archivos.tintaydatos.com/ediciones/facundo-tinta-y-datos.pdf,,True,si,"Advertencia del autor | Introducción | 1. Aspecto físico de la República Argentina y caracteres, hábitos e ideas que engendra. | 2. Originalidad y caracteres argentinos | 3. Asociación - La pulpería | 4. Revolución de 1810 | 5. Vida de Juan Facundo Quiroga | 6. La Rioja | 7. Sociabilidad (1825) | 8. Ensayos | 9. Guerra social | 10. Guerra social | 11. Guerra social | 12. Guerra social | 13. ¡¡¡Barranca-Yaco!!! | 14. Gobierno unitario | 15. Presente y porvenir",,"Edición propia Tinta y Datos: 17 capítulos, 676 párrafos."
7,Literatura,María,Jorge Isaacs,1867,Colombia,Novela,,Dominio público,"textos.info (edición de Edu Robsy, marcada como dominio público)",https://archivos.tintaydatos.com/ediciones/maria-tinta-y-datos.pdf,,True,si,A los hermanos de Efraín | Capítulo I | Capítulo II | Capítulo III | Capítulo IV | Capítulo V | Capítulo VI | Capítulo VII | Capítulo VIII | Capítulo IX | Capítulo X | Capítulo XI | Capítulo XII | Capítulo XIII | Capítulo XIV | Capítulo XV | Capítulo XVI | Capítulo XVII | Capítulo XVIII | Capítulo XIX | Capítulo XX | Capítulo XXI | Capítulo XXII | Capítulo XXIII | Capítulo XXIV | Capítulo XXV | Capítulo XXVI | Capítulo XXVII | Capítulo XXVIII | Capítulo XXIX | Capítulo XXX | Capítulo XXXI | Capítulo XXXII | Capítulo XXXIII | Capítulo XXXIV | Capítulo XXXV | Capítulo XXXVI | Capítulo XXXVII | Capítulo XXXVIII | Capítulo XXXIX | Capítulo XL | Capítulo XLI | Capítulo XLII | Capítulo XLIII | Capítulo XLIV | Capítulo XLV | Capítulo XLVI | Capítulo XLVII | Capítulo XLVIII | Capítulo XLIX | Capítulo L | Capítulo LI | Capítulo LII | Capítulo LIII | Capítulo LIV | Capítulo LV | Capítulo LVI | Capítulo LVII | Capítulo LVIII | Capítulo LIX | Capítulo LX | Capítulo LXI | Capítulo LXII | Capítulo LXIII | Capítulo LXIV | Capítulo LXV,,"Edición propia Tinta y Datos: 66 capítulos, 3105 párrafos."
8,Literatura,Cecilia Valdés,Cirilo Villaverde,1882,Cuba,Novela,,Dominio público,Internet Archive,https://archive.org/details/ceciliavaldesnov0000vill,,True,revisar_uso_comercial,,,"Novela cubana de 1882. Edición en español verificada en Internet Archive, 470 páginas."
9,Literatura,El Matadero,Esteban Echeverría,1871,Argentina,Cuento,,Dominio público,"textos.info (edición de Edu Robsy, marcada como dominio público)",https://archivos.tintaydatos.com/ediciones/el-matadero-tinta-y-datos.pdf,,True,si,,Escrito hacia 1839 y publicado póstumamente en 1871.,"Edición propia Tinta y Datos: 1 capítulos, 140 párrafos."
10,Literatura,Cuentos de amor de locura y de muerte,Horacio Quiroga,1917,Uruguay,Cuento,,Dominio público,"textos.info (edición de Edu Robsy, marcada como dominio público)",https://archivos.tintaydatos.com/ediciones/cuentos-de-amor-de-locura-y-de-muerte-tinta-y-datos.pdf,,True,si,Una estación de amor | Los ojos sombríos | El solitario | La muerte de Isolda | El infierno artificial | La gallina degollada | Los buques suicidantes | El almohadón de pluma | El perro rabioso | A la deriva | La insolación | El alambre de púa | Los Mensú | Yaguaí | Los pescadores de vigas | La miel silvestre | Nuestro primer cigarro | La meningitis y su sombra,"Corresponde a la primera edición, que conserva los tres relatos que Quiroga excluyó más tarde: «Los ojos sombríos», «El infierno artificial» y «El perro rabioso». Los títulos de los cuentos figuran en la fuente en versalitas sin acentuar, según la convención de la composición tipográfica en plomo de la época; esta edición les restituye la acentuación, siguiendo la forma en que la obra se cita habitualmente. El texto de los relatos no fue alterado.","Edición propia Tinta y Datos: 18 capítulos, 1707 párrafos."
