proposito,pais_publicacion,pais_origen,tipo_obra,postuma,persona_juridica,anio_muerte,anio_publicacion,resultado_calculadora,plazo_deducido
calibrar plazo,España,España,Literaria y/o artística,no,no,1950,1945,,
calibrar plazo,México,México,Literaria y/o artística,no,no,1950,1945,,
calibrar plazo,Argentina,Argentina,Literaria y/o artística,no,no,1950,1945,,
calibrar plazo,Chile,Chile,Literaria y/o artística,no,no,1950,1945,,
calibrar plazo,Colombia,Colombia,Literaria y/o artística,no,no,1950,1945,,
calibrar plazo,Perú,Perú,Literaria y/o artística,no,no,1950,1945,,
calibrar plazo,Uruguay,Uruguay,Literaria y/o artística,no,no,1950,1945,,
calibrar plazo,Ecuador,Ecuador,Literaria y/o artística,no,no,1950,1945,,
calibrar plazo,Cuba,Cuba,Literaria y/o artística,no,no,1950,1945,,
calibrar plazo,Venezuela,Venezuela,Literaria y/o artística,no,no,1950,1945,,
calibrar plazo,Alemania,Alemania,Literaria y/o artística,no,no,1950,1945,,
calibrar plazo,Nicaragua,Nicaragua,Literaria y/o artística,no,no,1950,1945,,
calibrar plazo,Bolivia,Bolivia,Literaria y/o artística,no,no,1950,1945,,
calibrar plazo,El Salvador,El Salvador,Literaria y/o artística,no,no,1950,1945,,
calibrar plazo,Costa Rica,Costa Rica,Literaria y/o artística,no,no,1950,1945,,
calibrar plazo,Paraguay,Paraguay,Literaria y/o artística,no,no,1950,1945,,
calibrar plazo,Estados Unidos,Estados Unidos,Literaria y/o artística,no,no,1950,1945,,
autores fallecidos en 1903 (Argentina),España,Argentina,Literaria y/o artística,no,no,1903,,,
autores fallecidos en 1903 (Argentina),México,Argentina,Literaria y/o artística,no,no,1903,,,
autores fallecidos en 1903 (Argentina),Argentina,Argentina,Literaria y/o artística,no,no,1903,,,
autores fallecidos en 1903 (Argentina),Chile,Argentina,Literaria y/o artística,no,no,1903,,,
autores fallecidos en 1903 (Argentina),Colombia,Argentina,Literaria y/o artística,no,no,1903,,,
autores fallecidos en 1903 (Argentina),Perú,Argentina,Literaria y/o artística,no,no,1903,,,
autores fallecidos en 1903 (Argentina),Uruguay,Argentina,Literaria y/o artística,no,no,1903,,,
autores fallecidos en 1903 (Argentina),Ecuador,Argentina,Literaria y/o artística,no,no,1903,,,
autores fallecidos en 1903 (Argentina),Cuba,Argentina,Literaria y/o artística,no,no,1903,,,
autores fallecidos en 1903 (Argentina),Venezuela,Argentina,Literaria y/o artística,no,no,1903,,,
autores fallecidos en 1903 (Argentina),Alemania,Argentina,Literaria y/o artística,no,no,1903,,,
autores fallecidos en 1903 (Argentina),Nicaragua,Argentina,Literaria y/o artística,no,no,1903,,,
autores fallecidos en 1903 (Argentina),Bolivia,Argentina,Literaria y/o artística,no,no,1903,,,
autores fallecidos en 1903 (Argentina),El Salvador,Argentina,Literaria y/o artística,no,no,1903,,,
autores fallecidos en 1903 (Argentina),Costa Rica,Argentina,Literaria y/o artística,no,no,1903,,,
autores fallecidos en 1903 (Argentina),Paraguay,Argentina,Literaria y/o artística,no,no,1903,,,
autores fallecidos en 1903 (Argentina),Estados Unidos,Argentina,Literaria y/o artística,no,no,1903,,,
autores fallecidos en 1917 (Argentina),España,Argentina,Literaria y/o artística,no,no,1917,,,
autores fallecidos en 1917 (Argentina),México,Argentina,Literaria y/o artística,no,no,1917,,,
autores fallecidos en 1917 (Argentina),Argentina,Argentina,Literaria y/o artística,no,no,1917,,,
autores fallecidos en 1917 (Argentina),Chile,Argentina,Literaria y/o artística,no,no,1917,,,
autores fallecidos en 1917 (Argentina),Colombia,Argentina,Literaria y/o artística,no,no,1917,,,
autores fallecidos en 1917 (Argentina),Perú,Argentina,Literaria y/o artística,no,no,1917,,,
autores fallecidos en 1917 (Argentina),Uruguay,Argentina,Literaria y/o artística,no,no,1917,,,
autores fallecidos en 1917 (Argentina),Ecuador,Argentina,Literaria y/o artística,no,no,1917,,,
autores fallecidos en 1917 (Argentina),Cuba,Argentina,Literaria y/o artística,no,no,1917,,,
autores fallecidos en 1917 (Argentina),Venezuela,Argentina,Literaria y/o artística,no,no,1917,,,
autores fallecidos en 1917 (Argentina),Alemania,Argentina,Literaria y/o artística,no,no,1917,,,
autores fallecidos en 1917 (Argentina),Nicaragua,Argentina,Literaria y/o artística,no,no,1917,,,
autores fallecidos en 1917 (Argentina),Bolivia,Argentina,Literaria y/o artística,no,no,1917,,,
autores fallecidos en 1917 (Argentina),El Salvador,Argentina,Literaria y/o artística,no,no,1917,,,
autores fallecidos en 1917 (Argentina),Costa Rica,Argentina,Literaria y/o artística,no,no,1917,,,
autores fallecidos en 1917 (Argentina),Paraguay,Argentina,Literaria y/o artística,no,no,1917,,,
autores fallecidos en 1917 (Argentina),Estados Unidos,Argentina,Literaria y/o artística,no,no,1917,,,
autores fallecidos en 1927 (Argentina),España,Argentina,Literaria y/o artística,no,no,1927,,,
autores fallecidos en 1927 (Argentina),México,Argentina,Literaria y/o artística,no,no,1927,,,
autores fallecidos en 1927 (Argentina),Argentina,Argentina,Literaria y/o artística,no,no,1927,,,
autores fallecidos en 1927 (Argentina),Chile,Argentina,Literaria y/o artística,no,no,1927,,,
autores fallecidos en 1927 (Argentina),Colombia,Argentina,Literaria y/o artística,no,no,1927,,,
autores fallecidos en 1927 (Argentina),Perú,Argentina,Literaria y/o artística,no,no,1927,,,
autores fallecidos en 1927 (Argentina),Uruguay,Argentina,Literaria y/o artística,no,no,1927,,,
autores fallecidos en 1927 (Argentina),Ecuador,Argentina,Literaria y/o artística,no,no,1927,,,
autores fallecidos en 1927 (Argentina),Cuba,Argentina,Literaria y/o artística,no,no,1927,,,
autores fallecidos en 1927 (Argentina),Venezuela,Argentina,Literaria y/o artística,no,no,1927,,,
autores fallecidos en 1927 (Argentina),Alemania,Argentina,Literaria y/o artística,no,no,1927,,,
autores fallecidos en 1927 (Argentina),Nicaragua,Argentina,Literaria y/o artística,no,no,1927,,,
autores fallecidos en 1927 (Argentina),Bolivia,Argentina,Literaria y/o artística,no,no,1927,,,
autores fallecidos en 1927 (Argentina),El Salvador,Argentina,Literaria y/o artística,no,no,1927,,,
autores fallecidos en 1927 (Argentina),Costa Rica,Argentina,Literaria y/o artística,no,no,1927,,,
autores fallecidos en 1927 (Argentina),Paraguay,Argentina,Literaria y/o artística,no,no,1927,,,
autores fallecidos en 1927 (Argentina),Estados Unidos,Argentina,Literaria y/o artística,no,no,1927,,,
autores fallecidos en 1938 (Argentina),España,Argentina,Literaria y/o artística,no,no,1938,,,
autores fallecidos en 1938 (Argentina),México,Argentina,Literaria y/o artística,no,no,1938,,,
autores fallecidos en 1938 (Argentina),Argentina,Argentina,Literaria y/o artística,no,no,1938,,,
autores fallecidos en 1938 (Argentina),Chile,Argentina,Literaria y/o artística,no,no,1938,,,
autores fallecidos en 1938 (Argentina),Colombia,Argentina,Literaria y/o artística,no,no,1938,,,
autores fallecidos en 1938 (Argentina),Perú,Argentina,Literaria y/o artística,no,no,1938,,,
autores fallecidos en 1938 (Argentina),Uruguay,Argentina,Literaria y/o artística,no,no,1938,,,
autores fallecidos en 1938 (Argentina),Ecuador,Argentina,Literaria y/o artística,no,no,1938,,,
autores fallecidos en 1938 (Argentina),Cuba,Argentina,Literaria y/o artística,no,no,1938,,,
