id,titulo,autor,anio_muerte,pais_origen,anio_publicacion,brecha_anios,alojada,resultado_calculadora_MX,resultado_calculadora_ES
224,Viaje de un naturalista alrededor del mundo,Charles Darwin,1882,Reino Unido,1945,63,no,,
229,Antología,Delmira Agustini,1914,Uruguay,1965,51,no,,
222,El origen de las especies por medio de la selección natural,Charles Darwin,1882,Reino Unido,1921,39,no,,
223,Jeolojía de la América Meridional,Charles Darwin,1882,Reino Unido,1906,24,no,,
9,El Matadero,Esteban Echeverría,1851,Argentina,1871,20,si,,
793,Esmeraldas,José Seferino Álvarez «Fray Mocho»,1903,Argentina,1921,18,si,,
959,"Escritos Políticos, Económicos y Literarios",Florencio Varela,1848,Argentina,1859,11,si,,
228,Los Astros del Abismo,Delmira Agustini,1914,Uruguay,1924,10,no,,
321,El Zarco,Ignacio Manuel Altamirano,1893,México,1901,8,si,,
261,Capítulos que se le Olvidaron a Cervantes,Juan Montalvo,1889,Ecuador,1895,6,si,,
519,Crónicas,Amado Nervo,1919,México,1922,3,si,,
347,Al margen,Rafael Barrett,1910,España,1912,2,si,,
989,Nuevas Poesías y Evangélicas,Almafuerte,1917,Argentina,1918,1,si,,
753,El Hipocampo de Oro,Abraham Valdelomar,1919,Perú,1920,1,si,,
648,Cuentos de la Tierra,Emilia Pardo Bazán,1921,España,1922,1,si,,
3,Rimas,Gustavo Adolfo Bécquer,1870,España,1871,1,si,,
